"ticker","id","country","type_label"
"3116 JP Equity","Toyota Boshoku Corp","JP","Automobiles & Components"
"7282 JP Equity","Toyoda Gosei Co Ltd","JP","Automobiles & Components"
"6995 JP Equity","Tokai Rika Co Ltd","JP","Automobiles & Components"
"3034 TT Equity","Novatek Microelectronics Corp","TW","Semiconductors & Semiconductor"
"HIMX US Equity","Himax Technologies Inc","TW","Semiconductors & Semiconductor"
"056190 KS Equity","SFA Engineering Corp","KR","Technology Hardware & Equipmen"
"MG CN Equity","Magna International Inc","CA","Automobiles & Components"
"LEA US Equity","Lear Corp","US","Automobiles & Components"
"AXL US Equity","American Axle & Manufacturing Holdings Inc","US","Automobiles & Components"
"1003Z GR Equity","ZF Friedrichshafen AG","DE","#N/A N/A"
"XPER US Equity","Xperi Corp","US","Semiconductors & Semiconductor"
"002916 CH Equity","Shennan Circuits Co Ltd","CN","Technology Hardware & Equipmen"
"BESI NA Equity","BE Semiconductor Industries NV","NL","Semiconductors & Semiconductor"
"PLAB US Equity","Photronics Inc","US","Semiconductors & Semiconductor"
"GTLS US Equity","Chart Industries Inc","US","Capital Goods"
"4369 JP Equity","Tri Chemical Laboratories Inc","JP","Semiconductors & Semiconductor"
"OEC US Equity","Orion Engineered Carbons SA","LU","Materials"
"ITT US Equity","ITT Inc","US","Capital Goods"
"6201 JP Equity","Toyota Industries Corp","JP","Automobiles & Components"
"7203 JP Equity","Toyota Motor Corp","JP","Automobiles & Components"
"HNDL IN Equity","Hindalco Industries Ltd","IN","Materials"
"120110 KS Equity","Kolon Industries Inc","KR","Materials"
"011070 KS Equity","LG Innotek Co Ltd","KR","Technology Hardware & Equipmen"
"032640 KS Equity","LG Uplus Corp","KR","Telecommunication Services"
"GSCALZ KS Equity","GS Caltex Corp","KR","#N/A N/A"
"8031 JP Equity","Mitsui & Co Ltd","JP","Capital Goods"
"CAP FP Equity","Capgemini SE","FR","Software & Services"
"ORCL US Equity","Oracle Corp","US","Software & Services"
"ALB US Equity","Albemarle Corp","US","Materials"
"ABBN SW Equity","ABB Ltd","CH","Capital Goods"
